,run_time,wait_time,submit_time,gpu_num
778,211,0,1506276121,1
779,287,0,1506276154,1
780,353,0,1506276156,1
781,291,0,1506276169,1
782,217,0,1506276171,1
783,207,0,1506276176,1
784,191,0,1506276180,1
785,188,0,1506276183,1
786,342,0,1506276186,1
787,346,0,1506276198,1
788,357,0,1506276205,1
789,269,0,1506276211,1
790,173,0,1506276220,1
791,179,0,1506276224,1
792,205,0,1506276228,1
793,185,0,1506276239,1
794,288,0,1506276243,1
795,287,0,1506276244,1
796,188,0,1506276245,1
797,180,0,1506276251,1
798,178,0,1506276261,1
799,181,0,1506276267,1
800,190,0,1506276277,1
801,188,0,1506276279,1
802,353,0,1506276289,1
803,119,0,1506276293,1
804,219,0,1506276300,1
805,122,0,1506276307,1
806,348,0,1506276314,1
807,163,0,1506276323,1
808,327,0,1506276329,1
809,184,0,1506276342,1
810,179,0,1506276348,1
811,352,0,1506276351,1
812,275,0,1506276351,1
813,175,0,1506276360,1
814,173,0,1506276363,1
815,172,0,1506276363,1
816,287,0,1506276380,1
817,202,0,1506276385,1
818,297,0,1506276386,1
819,298,0,1506276405,1
820,291,0,1506276406,1
821,267,0,1506276412,1
822,291,0,1506276421,1
823,170,0,1506276421,1
824,178,0,1506276433,1
825,270,0,1506276439,1
826,169,0,1506276440,1
827,174,0,1506276441,1
828,348,0,1506276454,1
829,291,0,1506276458,1
830,181,0,1506276458,1
831,174,0,1506276468,1
832,171,0,1506276470,1
833,172,0,1506276478,1
834,126,0,1506276487,1
835,110,0,1506276488,1
836,291,0,1506276489,1
837,176,0,1506276497,1
838,117,0,1506276505,1
839,228,0,1506276518,1
840,341,0,1506276521,1
841,165,0,1506276525,1
842,357,0,1506276529,1
843,351,0,1506276537,1
844,301,0,1506276538,1
845,178,0,1506276541,1
846,318,0,1506276554,1
847,284,0,1506276556,1
848,168,0,1506276559,1
849,189,0,1506276562,1
850,113,0,1506276570,1
851,298,0,1506276577,1
852,208,0,1506276577,1
853,120,0,1506276583,1
854,176,0,1506276591,1
855,191,0,1506276597,1
856,172,0,1506276598,1
857,119,0,1506276601,1
858,175,0,1506276615,1
859,213,0,1506276632,1
860,213,0,1506276647,1
861,124,0,1506276650,1
862,346,0,1506276654,1
863,221,0,1506276654,1
864,350,0,1506276660,1
865,204,0,1506276666,1
866,346,0,1506276667,1
867,223,0,1506276680,1
868,213,0,1506276683,1
869,355,0,1506276694,1
870,175,0,1506276696,1
871,346,0,1506276704,1
872,210,0,1506276710,1
873,211,0,1506276716,1
874,82,0,1506276716,1
875,211,0,1506276727,1
876,321,0,1506276739,1
877,200,0,1506276741,1
878,203,0,1506276752,1
879,205,0,1506276759,1
880,204,0,1506276769,1
881,348,0,1506276774,1
882,214,0,1506276780,1
883,205,0,1506276786,1
884,210,0,1506276806,1
885,321,0,1506276808,1
886,324,0,1506276828,1
887,215,0,1506276828,1
888,335,0,1506276832,1
889,352,0,1506276836,1
890,351,0,1506276853,1
891,347,0,1506276859,1
892,348,0,1506276874,1
893,223,0,1506276875,1
894,212,0,1506276891,1
895,353,0,1506276897,1
896,348,0,1506276900,1
897,351,0,1506276904,1
898,199,0,1506276910,1
899,203,0,1506276923,1
900,347,0,1506276926,1
901,211,0,1506276927,1
902,349,0,1506276944,1
903,341,0,1506276947,1
904,203,0,1506276951,1
905,93309,0,1506276971,1
906,735769,0,1506276971,1
907,216,0,1506276972,1
908,204,0,1506276981,1
909,346,0,1506276984,1
910,350,0,1506276990,1
911,543086,0,1506276994,1
912,322,0,1506276998,1
913,219,0,1506277005,1
914,213,0,1506277015,1
915,203,0,1506277017,1
916,210,0,1506277023,1
917,330,0,1506277026,1
918,216,0,1506277032,1
919,203,0,1506277033,1
920,216,0,1506277035,1
921,211,0,1506277046,1
922,213,0,1506277052,1
923,346,0,1506277057,1
924,215,0,1506277063,1
925,212,0,1506277077,1
926,257203,0,1506277204,1
927,19,0,1506277233,2
928,292,0,1506277247,1
929,205,0,1506277253,1
930,255,0,1506277259,1
931,292,0,1506277261,1
932,283,0,1506277268,1
933,110808,0,1506277284,1
934,169,0,1506277284,1
935,293,0,1506277306,1
936,66,0,1506277316,1
937,278,0,1506277318,1
938,288,0,1506277319,1
939,293,0,1506277335,1
940,172,0,1506277340,1
941,200,0,1506277468,1
942,324,0,1506277501,1
943,206,0,1506277508,1
944,351,0,1506277512,1
945,349,0,1506277513,1
946,322,0,1506277528,1
947,360,0,1506277530,1
948,345,0,1506277534,1
949,204,0,1506277540,1
950,358,0,1506277541,1
951,206,0,1506277544,1
952,355,0,1506277557,1
953,348,0,1506277561,1
954,209,0,1506277564,1
955,207,0,1506277564,1
956,323,0,1506277566,1
957,308,0,1506277573,1
958,211,0,1506277587,1
959,205,0,1506277587,1
960,310,0,1506277605,1
961,223,0,1506277606,1
962,287,0,1506277624,1
963,296,0,1506277663,1
964,291,0,1506277668,1
965,299,0,1506277669,1
966,293,0,1506277672,1
967,190,0,1506277678,1
968,287,0,1506277705,1
969,269,0,1506277712,1
970,181,0,1506277716,1
971,290,0,1506277741,1
972,306,0,1506277742,1
973,290,0,1506277742,1
974,202,0,1506277764,1
975,193,0,1506277774,1
976,182,0,1506277800,1
977,116,0,1506277840,1
978,169,0,1506277865,1
979,112,0,1506277870,1
980,264,0,1506277889,1
981,291,0,1506277894,1
982,203,0,1506277901,1
983,347,0,1506277903,1
984,203,0,1506277906,1
985,77,0,1506277917,1
986,177,0,1506277927,1
987,165,0,1506277928,1
988,14402,0,1506277935,1
989,280,0,1506277935,1
990,115,0,1506277944,1
991,184,0,1506277953,1
992,211,0,1506277958,1
